atom application/atom+xml
dart application/dart
es application/ecmascript
js application/javascript
edi application/EDI-X12
edf application/EDIFACT
json application/json
bin application/octet-stream
ogg application/ogg
pdf application/pdf
ps application/postscript
rdf application/rdf+xml
rss application/rss+xml
soap application/soap+xml
font application/font-woff
xhtml application/xhtml+xml
! xml application/xml
dtd application/xml-dtd
xop application/xop+xml
zip application/zip
gzip application/gzip
example application/example
nacl application/x-nacl
pnacl application/pnacl
basic audio/basic
l24 audio/L24
! mp4 audio/mp4
mpg audio/mpeg
ogg audio/ogg
opus audio/opus
! vorbis appliction/vorbis
real application.vnd.rn-realaudio
wav application/vnd.wave
! webm application/webm
gif image/gif
jpeg;jpg image/jpeg
png image/png
svg image/svg+xml
djvu image/vnd.djvu
igs model/iges
msh model/mesh
wrl model/vrml
x3d model/x3d+binary
css text/css
csv text/csv
html text/html
txt text/plain
rtf text/rtf
vcard text/vcard
abc text/vnd.abc
xml text/xml
avi video/avi
mpeg video/mpeg
mp4 video/mp4
webm video/webm
mkv video/x-matroska
wmv video/x-ms-wmv
flv video/x-flv
deb application/vnd.debian.binary-package
xls;xlsx application/vnd.ms-excel
ppt;pptx application/vnd.ms-powerpoint
xul application/vnd.mozilla.xul+xml
kml application/google-earth.kml+xml
kmz application/vnd.google-earth.kmz
apk application/vnd.android.package-archive
xps application/vnd.ms-xpsdocument
7z application/x-7z-compressed
crx application/x-chrome-extension
dvi application/x-dvi
ttf application/x-font-ttf
latex application/x-latex
m3u8 application/x-mpegURL
rar application/x-rar-compressed
swf application/x-shockwave-flash
stuffit application/x-stuffit
tar application/x-tar
xpi application/x-xpinstall
aac audio/x-aac
caf audio/x-caf
xcf image/x-xcf
gwt text/x-gwt-rpc
pkcs application/x-pkcs12
mp3 audio/mpeg
